nb_lot,nb_part,db_lot_1,db_part_1,dist_1,db_lot_2,db_part_2,dist_2,gap_ratio
661068645,1,660864365,1,,660864365,2,,1.0
661068645,101,660864365,1,,660864365,2,,1.0
661068645,103,660864365,1,,660864365,2,,1.0
661068645,105,660864365,1,,660864365,2,,1.0
661068645,106,660864365,1,,660864365,2,,1.0
661068645,107,660864365,1,,660864365,2,,1.0
661068645,108,660864365,1,,660864365,2,,1.0
661068645,109,660864365,1,,660864365,2,,1.0
661068645,110,660864365,1,,660864365,2,,1.0
661068645,111,660864365,1,,660864365,2,,1.0
661068645,112,660864365,1,,660864365,2,,1.0
661068645,114,660864365,1,,660864365,2,,1.0
661068645,116,660864365,1,,660864365,2,,1.0
661068645,117,660864365,1,,660864365,2,,1.0
661068645,118,660864365,1,,660864365,2,,1.0
661068645,119,660864365,1,,660864365,2,,1.0
661068645,12,660864365,1,,660864365,2,,1.0
661068645,120,660864365,1,,660864365,2,,1.0
661068645,122,660864365,1,,660864365,2,,1.0
661068645,123,660864365,1,,660864365,2,,1.0
661068645,124,660864365,1,,660864365,2,,1.0
661068645,127,660864365,1,,660864365,2,,1.0
661068645,128,660864365,1,,660864365,2,,1.0
661068645,129,660864365,1,,660864365,2,,1.0
661068645,130,660864365,1,,660864365,2,,1.0
661068645,131,660864365,1,,660864365,2,,1.0
661068645,132,660864365,1,,660864365,2,,1.0
661068645,133,660864365,1,,660864365,2,,1.0
661068645,134,660864365,1,,660864365,2,,1.0
661068645,135,660864365,1,,660864365,2,,1.0
661068645,136,660864365,1,,660864365,2,,1.0
661068645,137,660864365,1,,660864365,2,,1.0
661068645,139,660864365,1,,660864365,2,,1.0
661068645,14,660864365,1,,660864365,2,,1.0
661068645,140,660864365,1,,660864365,2,,1.0
661068645,141,660864365,1,,660864365,2,,1.0
661068645,142,660864365,1,,660864365,2,,1.0
661068645,143,660864365,1,,660864365,2,,1.0
661068645,144,660864365,1,,660864365,2,,1.0
661068645,145,660864365,1,,660864365,2,,1.0
661068645,146,660864365,1,,660864365,2,,1.0
661068645,148,660864365,1,,660864365,2,,1.0
661068645,149,660864365,1,,660864365,2,,1.0
661068645,15,660864365,1,,660864365,2,,1.0
661068645,150,660864365,1,,660864365,2,,1.0
661068645,151,660864365,1,,660864365,2,,1.0
661068645,152,660864365,1,,660864365,2,,1.0
661068645,155,660864365,1,,660864365,2,,1.0
661068645,159,660864365,1,,660864365,2,,1.0
661068645,160,660864365,1,,660864365,2,,1.0
661068645,161,660864365,1,,660864365,2,,1.0
661068645,162,660864365,1,,660864365,2,,1.0
661068645,163,660864365,1,,660864365,2,,1.0
661068645,164,660864365,1,,660864365,2,,1.0
661068645,165,660864365,1,,660864365,2,,1.0
661068645,166,660864365,1,,660864365,2,,1.0
661068645,168,660864365,1,,660864365,2,,1.0
661068645,169,660864365,1,,660864365,2,,1.0
661068645,170,660864365,1,,660864365,2,,1.0
661068645,172,660864365,1,,660864365,2,,1.0
661068645,173,660864365,1,,660864365,2,,1.0
661068645,174,660864365,1,,660864365,2,,1.0
661068645,175,660864365,1,,660864365,2,,1.0
661068645,176,660864365,1,,660864365,2,,1.0
661068645,177,660864365,1,,660864365,2,,1.0
661068645,178,660864365,1,,660864365,2,,1.0
661068645,179,660864365,1,,660864365,2,,1.0
661068645,18,660864365,1,,660864365,2,,1.0
661068645,181,660864365,1,,660864365,2,,1.0
661068645,183,660864365,1,,660864365,2,,1.0
661068645,184,660864365,1,,660864365,2,,1.0
661068645,187,660864365,1,,660864365,2,,1.0
661068645,188,660864365,1,,660864365,2,,1.0
661068645,189,660864365,1,,660864365,2,,1.0
661068645,19,660864365,1,,660864365,2,,1.0
661068645,190,660864365,1,,660864365,2,,1.0
661068645,191,660864365,1,,660864365,2,,1.0
661068645,192,660864365,1,,660864365,2,,1.0
661068645,194,660864365,1,,660864365,2,,1.0
661068645,195,660864365,1,,660864365,2,,1.0
661068645,198,660864365,1,,660864365,2,,1.0
661068645,201,660864365,1,,660864365,2,,1.0
661068645,202,660864365,1,,660864365,2,,1.0
661068645,203,660864365,1,,660864365,2,,1.0
661068645,205,660864365,1,,660864365,2,,1.0
661068645,206,660864365,1,,660864365,2,,1.0
661068645,207,660864365,1,,660864365,2,,1.0
661068645,208,660864365,1,,660864365,2,,1.0
661068645,209,660864365,1,,660864365,2,,1.0
661068645,210,660864365,1,,660864365,2,,1.0
661068645,211,660864365,1,,660864365,2,,1.0
661068645,212,660864365,1,,660864365,2,,1.0
661068645,213,660864365,1,,660864365,2,,1.0
661068645,214,660864365,1,,660864365,2,,1.0
661068645,215,660864365,1,,660864365,2,,1.0
661068645,216,660864365,1,,660864365,2,,1.0
661068645,217,660864365,1,,660864365,2,,1.0
661068645,218,660864365,1,,660864365,2,,1.0
661068645,219,660864365,1,,660864365,2,,1.0
661068645,22,660864365,1,,660864365,2,,1.0
661068645,220,660864365,1,,660864365,2,,1.0
661068645,221,660864365,1,,660864365,2,,1.0
661068645,222,660864365,1,,660864365,2,,1.0
661068645,223,660864365,1,,660864365,2,,1.0
661068645,224,660864365,1,,660864365,2,,1.0
661068645,225,660864365,1,,660864365,2,,1.0
661068645,226,660864365,1,,660864365,2,,1.0
661068645,227,660864365,1,,660864365,2,,1.0
661068645,228,660864365,1,,660864365,2,,1.0
